                           1                                        2                                        3                                        4                                        5                            6                            7 
              version_number                                 compiler                                    build                         MESA_SDK_version                                     date                    burn_min1                    burn_min2 
                       11701                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.9.1"                               "20201015"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                               tau100_lgT                                   log_LH                                  log_LHe                                    log_L                                 log_Teff                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                                center_ye                           center_entropy                              surface_he4                              surface_c12                              surface_n14                                center_h1                               center_he4                               center_c12                               center_n14                                       pp                                      cno                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                              num_retries                              num_backups            subsurface_convective_regions                                 rho_surf                                v_HI_surf                                b_HI_surf                            b_HI_surf_max                                b_HI_aver                                 b_HI_max                               HI_hp_aver                         mach_HI_aver_ahp                              turnover_HI                               v_HeI_surf                               b_HeI_surf                           b_HeI_surf_max                               b_HeI_aver                                b_HeI_max                              HeI_hp_aver                        mach_HeI_aver_ahp                             turnover_HeI                              v_HeII_surf                              b_HeII_surf                          b_HeII_surf_max                              b_HeII_aver                               b_HeII_max                             HeII_hp_aver                       mach_HeII_aver_ahp                            turnover_HeII                              v_FeCZ_surf                              b_FeCZ_surf                          b_FeCZ_surf_max                              b_FeCZ_aver                               b_FeCZ_max                             FeCZ_hp_aver                       mach_FeCZ_aver_ahp                            turnover_FeCZ                                 HI_r_top                              HI_r_bottom                                HeI_r_top                             HeI_r_bottom                               HeII_r_top                            HeII_r_bottom                               FeCZ_r_top                            FeCZ_r_bottom                                  HI_mass                                 HeI_mass                                HeII_mass                                FeCZ_mass                                HI_Fc_max                               HeI_Fc_max                              HeII_Fc_max                              FeCZ_Fc_max                                   r_hp_1                                   r_hp_2                                   r_hp_3                                   r_hp_4                                   r_hp_5                                   r_hp_6                                   r_hp_7                                   r_hp_8                                  r_hp_10                                  r_hp_15                                  r_hp_20                                  r_hp_30                                  r_hp_50                                 r_hp_100                                HI_b_p_eq                               HI_b_p_max                               HeI_b_p_eq                              HeI_b_p_max                              HeII_b_p_eq                             HeII_b_p_max                              FeCZ_b_p_eq                             FeCZ_b_p_max                               v_max_core                              v_aver_core                                b_eq_core                               b_max_core                            rho_aver_core                             hp_aver_core                              hp_core_top                            turnover_core                                   m_core                                   r_core                          v_aver_ahp_core                         mach_top_cz_core                       mach_aver_ahp_core                        rho_aver_ahp_core 
                                       1                  6.4150029909958457E+003                  3.0000000000000000E+000                 -9.8999999999999986E+001                  3.8071968632008439E+000                                     1089                  1.8985693981776841E-001                  7.8133773951003079E-008                  9.9999999974056242E-001                  9.9999999911776283E-001                  1.0000000000000000E+000                  7.8133773951003079E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9728190713710667E-001                  2.0252026223730167E-003                  2.0191856700307587E+000                  2.0140666976444321E+000                  2.0285695593026354E+000                  2.0252026223730167E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9999999999121210E+000                  2.0246252679266070E+000                  2.9999999991949413E+000                  2.0190719676148667E+000                  4.5588055183047826E+000                  2.0203494472818293E+000                 -3.5955776971598311E+001                  1.9143867596508135E+000                  4.0866311560494921E+000                  3.0718990417904801E-001                  4.3006307997746918E+000                  7.3784989546256021E+000                  1.5993541602720986E+000                  1.7107346866521269E+001                  8.4950657804161223E-001                  1.8008408538742668E+001                  2.7997020236474901E-001                  3.4416106108119925E-003                  1.0081585468366034E-003                  6.9901210117192369E-001                  2.8042602666208760E-001                  6.6032146189044750E-005                  4.9735562684912887E-003                  1.2112701341529901E+000                  1.9470980301306609E+000                                        1                  1.9112989002318320E-001                                        0                  9.9999999911776283E-001                                        1                  9.9999999974360221E-001                                        0                  9.9999999998114519E-001                                        1                  9.9999999999454614E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4694514689139845E-001                                        0                  9.9283474270699046E-001                                        1                  9.9539395999863600E-001                                        0                  9.9842452800014436E-001                                        1                  9.9921432991445647E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        4                  1.5393745361290290E-002                                        3                  1.0258602140157219E-001                                        2                  2.2275925002103236E-001                                        3                  2.2769709931355531E-001                                        2                  3.7355244891838180E-001                                        1                  5.1345145633155298E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        0                                        0                  2.0000000000000000E+000                  6.5312041896902796E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9419253823560245E-001                  3.9484110581386265E-003                  3.9800908862282309E-003                  1.1085736057516006E-002                  1.1174681764378249E-002                  1.1434400833396819E+008                  3.2183549446220469E-005                  3.2428513741496033E+006                  1.6116005299193353E+004                  1.0115568135778175E+000                  3.0440018975865474E-001                  1.6855903237317047E+001                  5.0723202840629344E+000                  3.1032529209174615E+008                  7.5026358803579911E-003                  2.2009388367611849E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4106999237625247E+011                  1.4096219888127182E+011                  1.4053128426280075E+011                  1.4017501402265720E+011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2753828125000251E+022                  3.9162375000000026E+024                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2164496600635175E-015                  1.7550868417703924E-005                  0.0000000000000000E+000                  1.4109791131348187E+011                  1.4099812820992108E+011                  1.4086639387881808E+011                  1.4070018772588626E+011                  1.4048666328495383E+011                  1.4018628991552368E+011                  1.3978924914496423E+011                  1.3929940985080560E+011                  1.3792033970263730E+011                  1.2976150663802855E+011                  1.1113381794991780E+011                  3.7651059195642921E+010                  1.4095005211191723E+008                  1.4095005211191723E+008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1610279567869270E+002                  5.0550279520281464E+002                  2.6365576686064742E+003                  3.3131311826648134E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0331968873427122E+004                  7.2414223943919906E+003                  1.5027526226687577E+005                  1.3890326821345397E+001                  3.4270257185455755E+001                  2.6197956340658985E+010                  1.3178858908704069E+010                  5.7884663899065126E+006                  1.2114595665608671E+033                  2.1259868249029495E+010                  7.2414223943919906E+003                  2.2782320635676498E-015                  1.0420988269412502E-004                  3.4270257185455755E+001 
                                       2                  1.4113006580190862E+004                  3.0000000000000000E+000                 -9.8999999999999986E+001                  3.8863781092484686E+000                                     2164                  1.7347485368063781E-001                  7.8133775498265921E-008                  9.9999999971712872E-001                  9.9999999918148474E-001                  1.0000000000000000E+000                  7.8133775498265921E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8710717816640430E-001                  2.0280976976451998E-003                  2.0178972383537279E+000                  2.0134748101091349E+000                  2.0275637842299017E+000                  2.0280976976451998E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9999999999134341E+000                  2.0236498228887929E+000                  2.9999999992036166E+000                  2.0181142601521493E+000                  4.5571529023636845E+000                  1.9718888401327899E+000                 -3.5967495301843023E+001                  1.9112231206290164E+000                  4.0859479356957671E+000                  3.0697452537560066E-001                  4.3010615573815860E+000                  7.3782456968913532E+000                  1.5974929880227278E+000                  1.7105232487011978E+001                  8.4950060300583008E-001                  1.8013960512085664E+001                  2.7997020236474812E-001                  3.4416106108119825E-003                  1.0081585468366011E-003                  6.9900027043390478E-001                  2.8043621968394461E-001                  5.3445172604048879E-005                  4.9889558560009314E-003                  1.1703179876307441E+000                  1.8972436907918839E+000                                        1                  1.7443925961051895E-001                                        0                  9.9999999918148474E-001                                        1                  9.9999999971788867E-001                                        0                  9.9999999998333389E-001                                        1                  9.9999999999334122E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4191452273318247E-001                                        0                  9.9302903966871936E-001                                        1                  9.9523702722063057E-001                                        0                  9.9851970983279648E-001                                        1                  9.9911078191893476E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        4                  1.2479936717075297E-002                                        3                  9.8008386216522275E-002                                        2                  3.7201427626557526E-001                                        1                  5.1081712549841485E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        0                                        0                  2.0000000000000000E+000                  6.4530407453721570E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9950910377650289E-001                  2.7232919970036429E-003                  2.3709113269292522E-003                  7.5579213079313571E-003                  6.5799632418155384E-003                  1.1266517010560560E+008                  2.2658069269388496E-005                  4.6182297686631139E+006                  1.3329112963762722E+004                  8.9213067717281502E-001                  2.5568034995718980E-001                  1.4462233930046336E+001                  4.1448065031404662E+000                  2.9831582394245034E+008                  6.8882040597798566E-003                  2.4010609327558577E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4098751618243942E+011                  1.4090676243005295E+011                  1.4044161199494275E+011                  1.4013381983397556E+011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0142218749999890E+022                  3.2052539062499854E+024                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7715611723760958E-015                  1.8448478677601802E-005                  0.0000000000000000E+000                  1.4103012816891977E+011                  1.4092826755595871E+011                  1.4079937882439517E+011                  1.4063515004396570E+011                  1.4042145147461148E+011                  1.4012383958151923E+011                  1.3972897405652219E+011                  1.3923922434281729E+011                  1.3787098588449753E+011                  1.2970913995151166E+011                  1.1110539940699277E+011                  3.7772329578503082E+010                  1.4115154356071061E+008                  1.4115154356071061E+008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0756872982856771E+002                  4.7469408359202276E+002                  2.5434938113966405E+003                  3.1630219819402641E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2691905367455882E+004                  8.2118561808794511E+003                  1.7136788587384555E+005                  1.2140420655111475E+001                  3.4655035216018135E+001                  2.7038310761305054E+010                  1.4007876914049894E+010                  5.2681508620204562E+006                  1.0547500822431564E+033                  2.0131112196644646E+010                  8.2118561808794511E+003                  2.1114663615600393E-015                  1.1756245857700131E-004                  3.4655035216018135E+001 
                                       3                  2.3350610887224881E+004                  3.0000000000000000E+000                 -9.8999999999999986E+001                  3.9655593552960937E+000                                     3347                  1.7674610936442525E-001                  7.8133774664031364E-008                  9.9999999971712561E-001                  9.9999999917960170E-001                  1.0000000000000000E+000                  7.8133774664031364E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8945301253433148E-001                  2.0296226009534849E-003                  2.0170803159019690E+000                  2.0126079297242634E+000                  2.0267410611302190E+000                  2.0296226009534849E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9999999999142415E+000                  2.0228450136976353E+000                  2.9999999992081676E+000                  2.0173164723241546E+000                  4.5563802049123190E+000                  1.9391345185617352E+000                 -3.5975522221468609E+001                  1.9097351874144728E+000                  4.0856640819533903E+000                  3.0679826625308304E-001                  4.3014140756266217E+000                  7.3780974153234471E+000                  1.5965137349111389E+000                  1.7104102547481858E+001                  8.4949421584814744E-001                  1.8016703136948045E+001                  2.7997020236474812E-001                  3.4416106108119864E-003                  1.0081585468366030E-003                  6.9898755714222849E-001                  2.8044789162755174E-001                  4.5388061589112574E-005                  4.9991848478394560E-003                  1.1485149549567251E+000                  1.8624045486831340E+000                                        1                  1.7684106766804394E-001                                        0                  9.9999999917960170E-001                                        1                  9.9999999971717124E-001                                        0                  9.9999999998324185E-001                                        1                  9.9999999999331868E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4284754384312967E-001                                        0                  9.9302541953502266E-001                                        1                  9.9523363514930641E-001                                        0                  9.9851529675797090E-001                                        1                  9.9910856045112029E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        4                  9.9684488062673059E-003                                        3                  9.4601720488359242E-002                                        2                  3.7124518993916766E-001                                        1                  5.1081712549841318E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        0                                        0                  2.0000000000000000E+000                  6.4505908171078568E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9426753600570069E-001                  2.7073479157876971E-003                  2.6405546619207199E-003                  7.4288758094428337E-003                  7.2455972640468715E-003                  1.1082238501853959E+008                  2.2832065365204458E-005                  4.5815593569046771E+006                  1.3321205711263801E+004                  8.8968841669700227E-001                  2.7850100906991637E-001                  1.4456588250018088E+001                  4.5253757830023682E+000                  2.9840609250107265E+008                  6.8827945225507581E-003                  2.4065085845748057E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4093123107529684E+011                  1.4084827602101459E+011                  1.4038475582614523E+011                  1.4007348669294928E+011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0666714843749793E+022                  3.2489619140624726E+024                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8825834748386114E-015                  1.8855660691152742E-005                  0.0000000000000000E+000                  1.4097283334239542E+011                  1.4087101588596866E+011                  1.4074221985819159E+011                  1.4058035874696109E+011                  1.4036657888539081E+011                  1.4007037279833115E+011                  1.3967277113696155E+011                  1.3918346206959076E+011                  1.3781645997964468E+011                  1.2968760152052194E+011                  1.1112635479462451E+011                  3.7787422655414497E+010                  1.4125767378116065E+008                  1.4125767378116065E+008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0382047804811469E+002                  4.7624411537851978E+002                  2.5500153615604436E+003                  3.1812470129360063E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1214916008422941E+004                  7.8245755937393087E+003                  1.6303110299946048E+005                  7.4007996447526043E+000                  3.4546932250042573E+001                  2.7028569351336395E+010                  1.3969986811968170E+010                  5.5269081938118795E+006                  1.0645108549524353E+033                  2.0219444128292423E+010                  7.8245755937393087E+003                  2.1177596061257148E-015                  1.1207255382983957E-004                  3.4546932250042573E+001 
                                       4                  3.4435736055665700E+004                  3.0000000000000000E+000                 -9.8999999999999986E+001                  4.0447406013437179E+000                                     3757                  1.7347485368064208E-001                  7.8133781418697256E-008                  9.9999999971614317E-001                  9.9999999917928073E-001                  1.0000000000000000E+000                  7.8133781418697256E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8738892125216220E-001                  2.0301890857067151E-003                  2.0159999001683797E+000                  2.0115432272338842E+000                  2.0256662566185808E+000                  2.0301890857067151E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9999999999144387E+000                  2.0217760520267891E+000                  2.9999999992112731E+000                  2.0162610165099082E+000                  4.5559596954466723E+000                  1.9181288802837124E+000                 -3.5980084253667336E+001                  1.9085651292887635E+000                  4.0854867536909802E+000                  3.0656789371504622E-001                  4.3018748207026949E+000                  7.3780081604186600E+000                  1.5961501399126623E+000                  1.7103644788174659E+001                  8.4948681159304362E-001                  1.8017386613731738E+001                  2.7997020236474907E-001                  3.4416106108119951E-003                  1.0081585468366034E-003                  6.9897278379293770E-001                  2.8046208332324801E-001                  4.0394677476924014E-005                  5.0060261230123844E-003                  1.1363830319403638E+000                  1.8396629973272731E+000                                        1                  1.7394587461511724E-001                                        0                  9.9999999917928073E-001                                        1                  9.9999999971703113E-001                                        0                  9.9999999998321354E-001                                        1                  9.9999999999330946E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4202684525737844E-001                                        0                  9.9302574065103721E-001                                        1                  9.9523339260885835E-001                                        0                  9.9851368875176938E-001                                        1                  9.9910730380987522E-001                                        8                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        4                  8.7127048508703620E-003                                        3                  9.1212415741549896E-002                                        2                  3.7124518993917238E-001                                        1                  5.0949996008184506E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        0                                        0                  2.0000000000000000E+000                  6.4510589489486004E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9396715694504925E-001                  2.7072572619337037E-003                  3.0347199310956658E-003                  7.3997690955461722E-003                  8.2948255695951042E-003                  1.0994431567254989E+008                  2.2978653430539148E-005                  4.5500011145149693E+006                  1.3469649816138248E+004                  8.9657380403454234E-001                  3.1322314676808782E-001                  1.4529094076373372E+001                  5.0758214726022954E+000                  2.9678828412775850E+008                  6.9674909444263191E-003                  2.3767744907513559E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4085642140241760E+011                  1.4077289801619635E+011                  1.4030956105191888E+011                  1.3999938552902386E+011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0666714843749819E+022                  3.2212801757812447E+024                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1046280797636427E-015                  1.9078362228697184E-005                  0.0000000000000000E+000                  1.4089745883233499E+011                  1.4079624209830603E+011                  1.4066889322129279E+011                  1.4050582240638950E+011                  1.4029321208350012E+011                  1.3999782754524771E+011                  1.3960684075856769E+011                  1.3911733182391568E+011                  1.3774447057318475E+011                  1.2962342568726366E+011                  1.1107867632650766E+011                  3.7794436989321426E+010                  1.4129709998701596E+008                  1.4129709998701596E+008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0265954572525692E+002                  4.7730076108231640E+002                  2.5442957079303019E+003                  3.1810496986725211E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0219069448194932E+004                  7.5727717837890777E+003                  1.5783123460809494E+005                  5.1631300674234097E+000                  3.4567367397845835E+001                  2.7110392042495132E+010                  1.4058613323377619E+010                  5.7279723338352721E+006                  1.0498696958885364E+033                  2.0113683700270138E+010                  7.5727717837890777E+003                  2.0995461649683015E-015                  1.0842250441493841E-004                  3.4567367397845835E+001 
